Unnamed: 0,Last avail. year
1881.0,2011-01-01
1882.0,2012-01-01
1883.0,2022-01-01
1884.0,2015-01-01
1889.0,2018-01-01
1890.0,2020-01-01
1893.0,2020-01-01
1895.0,2017-01-01
1896.0,2004-01-01
1899.0,2017-01-01
1904.0,2012-01-01
1907.0,2022-01-01
1908.0,2012-01-01
1910.0,2016-01-01
1911.0,2015-01-01
1913.0,2022-01-01
1915.0,2016-01-01
1917.0,2015-01-01
1918.0,2022-01-01
1919.0,2015-01-01
1920.0,2014-01-01
1921.0,2021-01-01
1923.0,2018-01-01
1926.0,2016-01-01
1927.0,2021-01-01
1928.0,2019-01-01
1930.0,2016-01-01
1932.0,2021-01-01
1933.0,2017-01-01
1934.0,2014-01-01
1937.0,2021-01-01
1939.0,2016-01-01
1943.0,2017-01-01
1945.0,2005-01-01
1946.0,2004-01-01
1947.0,2020-01-01
1950.0,2022-01-01
1951.0,2016-01-01
1953.0,2012-01-01
1954.0,2011-01-01
1955.0,2022-01-01
1956.0,2017-01-01
1958.0,2022-01-01
1959.0,2013-01-01
1962.0,2021-01-01
1963.0,2015-01-01
1964.0,2021-01-01
1965.0,2016-01-01
1966.0,2020-01-01
1967.0,2009-01-01
1968.0,2011-01-01
1972.0,2021-01-01
1975.0,2020-01-01
1976.0,2020-01-01
1977.0,2016-01-01
1978.0,2021-01-01
1979.0,2003-01-01
1980.0,2018-01-01
1981.0,2013-01-01
1982.0,2011-01-01
1984.0,2021-01-01
1985.0,2017-01-01
1988.0,2021-01-01
1989.0,2013-01-01
1992.0,2014-01-01
1993.0,2018-01-01
1994.0,2013-01-01
1995.0,2008-01-01
1997.0,2006-01-01
2000.0,2010-01-01
2002.0,2017-01-01
2003.0,2002-01-01
2005.0,2008-01-01
2006.0,2016-01-01
2007.0,2007-01-01
2008.0,2021-01-01
2009.0,2021-01-01
2014.0,2020-01-01
2015.0,2011-01-01
2016.0,2022-01-01
2017.0,2022-01-01
2018.0,2017-01-01
2019.0,2012-01-01
2020.0,2018-01-01
2023.0,2021-01-01
2025.0,2012-01-01
2027.0,2012-01-01
2029.0,2018-01-01
2031.0,2020-01-01
2032.0,2021-01-01
2034.0,2009-01-01
2035.0,2015-01-01
2037.0,2019-01-01
2038.0,2022-01-01
2039.0,2021-01-01
2041.0,2021-01-01
2042.0,2021-01-01
2043.0,2013-01-01
2048.0,2010-01-01
2049.0,2017-01-01
2050.0,2021-01-01
2051.0,2016-01-01
2052.0,2020-01-01
2053.0,2011-01-01
2055.0,2021-01-01
2056.0,2016-01-01
2057.0,2019-01-01
2058.0,2020-01-01
2060.0,2010-01-01
2063.0,2019-01-01
2064.0,2019-01-01
2067.0,2020-01-01
2068.0,2022-01-01
2072.0,2021-01-01
2073.0,2019-01-01
