index,bankruptcy,active,bankruptcy_indicator,time_to_event,mean_operating_revenue,mean_cash_flow,mean_total_assets,mean_n_employees,n_legal_events,peer_group_size
8599,2016-03-24,2016-03-24,1,0.0,0.0,11.778531567263602,52.309278194451316,0.0,4.0,56351
8601,2014-03-07,2009-01-29,1,1863.0,0.0,-0.29427138183117,78.25401771538256,0.0,8.0,969407
8606,,2020-05-07,0,938.0,0.0,0.0,0.0,0.3333333333333333,1.0,544636
8614,2014-03-31,2014-03-31,1,0.0,0.0,0.0,12.979164521670338,0.0,4.0,73041
8615,2013-03-28,2011-11-18,1,496.0,0.0,0.0,0.0,0.0,4.0,89028
8621,2014-06-05,2013-02-13,1,477.0,0.0,0.0,0.0,0.0,8.0,348369
8634,2015-12-02,2015-12-02,1,0.0,0.0,8.439390553545948,51.887970430827046,0.0,9.0,369704
8639,2018-03-27,2012-08-31,1,2034.0,0.0,0.0,0.0,0.0,4.0,974432
8640,2018-01-15,2011-12-20,1,2218.0,0.0,-0.8270895396709619,32.22572727737429,0.0,9.0,969407
8644,,2019-05-27,0,1284.0,0.0,0.0,0.0,0.0,7.0,969407
8653,2020-10-22,2003-12-24,1,6147.0,0.0,237.38509379901907,2492.374294050024,5.0,7.0,178794
8657,,2021-06-04,0,545.0,0.0,0.0,0.0,0.3333333333333333,1.0,724221
8660,2016-01-07,2008-08-02,1,2714.0,0.0,0.0,0.0,0.0,4.0,23933
8666,,2011-10-11,0,4069.0,0.0,0.0,557.7967323671578,0.3333333333333333,12.0,257566
8674,2013-09-09,2005-04-25,1,3059.0,28.855745039343834,-2.3548005323409997,136.06452685775741,0.3333333333333333,30.0,2693579
8678,2013-07-30,2008-04-03,1,1944.0,0.0,-2.14440983843804,5.18124016988278,0.0,4.0,205941
8683,2014-01-14,2011-12-04,1,772.0,1203.3127662533316,38.11330344212051,970.1342659606928,6.666666666666667,94.0,89748
8688,2014-06-01,1983-12-21,1,11120.0,0.0,0.0,76.79427916498176,0.16666666666666666,4.0,969407
8693,,2019-02-18,0,1382.0,0.0,0.0,86.8422795148134,1.0,17.0,138772
8699,,2014-12-02,0,2921.0,0.0,0.0,0.0,0.5,1.0,352464
8700,2014-11-12,1995-12-01,1,6921.0,112.399198173523,132.2418444839478,596.1093894225836,0.3333333333333333,4.0,56439
8702,2014-01-16,2006-07-04,1,2753.0,0.0,-4.213151356887804,79.20995054023264,0.0,1.0,319442
8703,2015-03-16,2008-03-20,1,2552.0,30.6494693834385,14.163675043797479,121.2656338056803,0.16666666666666666,24.0,62705
8725,2016-12-08,2012-07-08,1,1614.0,0.0,0.0,0.0,0.0,4.0,200820
8729,2013-04-29,2003-06-17,1,3604.0,152.24822320401668,-11.1186459173441,66.09937671852109,0.0,12.0,25598
8737,2013-10-21,2008-11-13,1,1803.0,0.0,5.167349187040329,56.62215736906528,0.16666666666666666,15.0,2693579
8739,2016-01-25,2002-10-18,1,4847.0,0.0,2.64051829891205,22.25052147083282,0.0,17.0,35304
8742,2015-03-31,2009-06-26,1,2104.0,0.0,10.394912384533885,111.5791550620794,0.16666666666666666,4.0,189263
8751,2015-01-27,2008-01-18,1,2566.0,0.0,18.9485782648325,78.1006703425646,0.0,6.0,278208
8759,,2016-07-01,0,2344.0,0.0,0.0,0.0,0.6666666666666666,7.0,41444
8766,2018-02-26,2011-03-05,1,2550.0,110.6295095312595,19.602055951142315,76.11884274284839,0.0,7.0,731053
8770,2014-05-26,2006-07-02,1,2885.0,0.0,-1.464770219278336,3.6209667693615004,0.0,6.0,29218
8773,,2018-01-01,0,1795.0,0.0,0.0,0.0,0.3333333333333333,3.0,41444
8776,2016-05-25,2010-05-21,1,2196.0,379.5668824956019,26.72439454376696,709.0411303170672,3.6666666666666665,4.0,85855
8785,2014-05-19,2008-10-14,1,2043.0,0.0,23.30306270635128,50.7601114528179,0.0,4.0,93320
8791,2014-04-15,2009-02-19,1,1881.0,0.0,0.0,4.90396299533844,0.0,4.0,40596
8794,2015-02-02,2011-05-30,1,1344.0,0.0,-2.9438451748848,3.51224267458916,0.0,4.0,142581
