"","index","status","end_date","start_date","years_to_event","event_indicator","total_liabilities_by_net_assets","cash_by_total_assets","cash_by_current_liabilities","current_assets_by_current_liabilities","tax","financial_expenses_by_total_assets","EBIT","working_capital_by_total_assets","size_classification","income_tax_by_total_assets","sector","cooperative","nonprofit","other","private","public","censor","size_small","size_large","size_v_large","EBITDA","log_cash_by_current_liabilities","log_cash_by_total_assets","log_total_liabilities_by_net_assets","log_total_liabilities_by_total_assets"
"7987",8023,"Merger by absorption","2019-10-14 00:00:00.000000000","2012-06-15",7,0,3962.73291925466,0.000068617206548241,0.000121492445266728,1.52451433857539,71333.3333333333,0.0125391849529781,233333.333333333,0.158655520724486,"Small",0.0372692441657959,"R - Arts, entertainment and recreation",0,0,0,0,1,0,1,0,0,252000,-9.01565847599152,-9.58696723036521,8.28468919734246,8.28468919734246
"7988",8024,"Liquidation","2021-04-30 00:00:00.000000000","2012-06-20",9,4,2261.90476190476,0.00043859649122807,0.00078125,1.78125,10666.6666666667,0.0175438596491228,33666.6666666667,-0.192982456140351,"Small",0.112280701754386,"F - Construction",0,0,0,1,0,0,1,0,0,33666.6666666667,-7.15461535691366,-7.73193072194849,7.72396255229931,7.72396255229931
"7989",8025,"Liquidation","2022-05-12 00:00:00.000000000","2012-06-14",10,4,-631.578947368421,0.0005625,0.000217741935483871,0.387096774193548,0,0.0625,-7666.66666666667,-1.0625,"Small",0,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,1,0,0,1,0,0,-7333.33333333333,-8.43219997858285,-7.4831194238857,NA,NA
"7990",8026,"Bankruptcy","2022-05-17 00:00:00.000000000","2012-06-19",10,2,-616.915422885572,0.000145161290322581,0.0000659340659340659,0.267399267399267,0,0.169354838709677,-10666.6666666667,-0.0161290322580645,"Small",0,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,666.666666666667,-9.62685531627093,-8.83766508669101,NA,NA
"7991",8027,"Bankruptcy","2022-09-06 00:00:00.000000000","2012-06-21",10,2,-1211.86440677966,0.000156177156177156,0.000149553571428571,0.212053571428571,0,0.0909090909090909,22666.6666666667,-0.433566433566434,"Small",0,"I - Accommodation and food service activities",0,0,0,1,0,1,1,0,0,58333.3333333333,-8.80785589200616,-8.76451957851919,NA,NA
"7992",8028,"Merger by absorption","2021-12-06 00:00:00.000000000","2012-06-28",9,0,-6124.6511627907,0.000118013365735115,0.000209490428686978,0.709625235912645,126333.333333333,0.00759416767922236,437333.333333333,0.00136695018226002,"Medium sized",0.0575637910085055,"G - Wholesale and retail trade; repair of motor vehicles and motorcycles",0,0,0,0,1,0,0,0,0,602000,-8.47083250610408,-9.04471267097139,NA,NA
"7993",8029,"Bankruptcy","2021-11-16 00:00:00.000000000","2012-06-15",9,2,-1417.32283464567,0.000227777777777778,0.000175213675213675,0.452991452991453,0,0.05,-9000,-0.388888888888889,"Small",0,"N - Administrative and support service activities",0,0,0,1,0,1,1,0,0,-333.333333333333,-8.64950432763553,-8.38714006316804,NA,NA
"7994",8030,"Bankruptcy","2022-10-24 00:00:00.000000000","2012-06-29",10,2,-622.641509433962,0.000101010101010101,0.000045662100456621,0.273972602739726,0,0.0404040404040404,-22333.3333333333,-0.171717171717172,"Small",0,"J - Information and communication",0,0,0,1,0,1,1,0,0,-17666.6666666667,-9.99424191580459,-9.20029003612268,NA,NA
"7995",8031,"Liquidation","2021-07-15 00:00:00.000000000","2012-06-29",9,4,16307.6923076923,0.000106132075471698,0.000202702702702703,1.11711711711712,2000,0.0141509433962264,7000,0.0518867924528302,"Small",0.0283018867924528,"N - Administrative and support service activities",0,0,0,1,0,0,1,0,0,28666.6666666667,-8.5037701710841,-9.15082624444378,9.69939219619261,9.69939219619261
"7996",8032,"Liquidation","2020-09-11 00:00:00.000000000","2012-06-28",8,4,3600,0.0000902777777777778,0.000131979695431472,1.40609137055838,2666.66666666667,0,6000,0.0451388888888889,"Small",0.0277777777777778,"J - Information and communication",0,0,0,1,0,0,1,0,0,6000,-8.93286246969864,-9.3126192210966,8.1886891244442,8.1886891244442
"7997",8033,"Liquidation","2022-08-04 00:00:00.000000000","2012-06-26",10,4,1801.67968174451,0.000480209355577363,0.0173215339233038,21.0176991150442,63000,0.000736015701668302,81333.3333333333,0.0152109911678116,"Medium sized",0.0154563297350343,"M - Professional, scientific and technical activities",1,0,0,0,0,0,0,0,0,89000,-4.05580481606824,-7.64128839169851,7.4964746652891,7.4964746652891
"7998",8034,"Merger by absorption","2019-12-30 00:00:00.000000000","2012-06-28",7,0,1848.70848708487,0.000331337325349301,0.000724890829694323,2.18340611353712,5666.66666666667,0.00199600798403194,18000,-0.0149700598802395,"Small",0.0169660678642715,"M - Professional, scientific and technical activities",0,0,0,1,0,0,1,0,0,18333.3333333333,-7.22948949417983,-8.01237359171046,7.5222425591873,7.5222425591873
